sollPos,sollVel
0,0
0,0
0.005,1
0.02,2
0.045,3
0.08,4
0.125,5
0.18,6
0.245,7
0.32,8
0.405,9
0.505,10
0.605,10
0.705,10
0.805,10
0.905,10
1.005,10
1.105,10
1.205,10
1.305,10
1.405,10
1.505,10
1.605,10
1.705,10
1.805,10
1.905,10
2.005,10
2.105,10
2.205,10
2.305,10
2.405,10
2.505,10
2.605,10
2.705,10
2.805,10
2.905,10
3.005,10
3.105,10
3.205,10
3.305,10
3.405,10
3.505,10
3.605,10
3.705,10
3.805,10
3.905,10
4.005,10
4.105,10
4.205,10
4.305,10
4.405,10
4.505,10
4.605,10
4.705,10
4.805,10
4.905,10
5.005,10
5.105,10
5.205,10
5.305,10
5.405,10
5.505,10
5.605,10
5.705,10
5.805,10
5.905,10
6.005,10
6.105,10
6.205,10
6.305,10
6.405,10
6.505,10
6.605,10
6.705,10
6.805,10
6.905,10
7.005,10
7.105,10
7.205,10
7.305,10
7.405,10
7.505,10
7.605,10
7.705,10
7.805,10
7.905,10
8.005,10
8.105,10
8.205,10
8.305,10
8.405,10
8.505,10
8.605,10
8.705,10
8.805,10
8.905,10
9.005,10
9.105,10
9.205,10
9.305,10
9.405,10
9.505,10
9.6,9
9.685,8
9.76,7
9.825,6
9.88,5
9.925,4
9.96,3
9.985,2
10,1
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
